,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
118,1258,0.0,0.0,1.0,0.0,0.222,0.272,0.238,0.268,0.0,0.0,0.958,0.042,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.96,0.0,0.0,0.0,1.0
118,1259,0.0,1.0,0.0,0.0,0.238,0.264,0.236,0.262,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,0.0,0.0,1.0,0.216,0.288,0.212,0.284,0.0,0.912,0.0,0.088,0.0,0.0,0.0,1.0,0.0,0.744,0.0,0.256,0.0,1.0,0.0,0.0
118,1167,0.0,0.0,1.0,0.0,0.27,0.234,0.268,0.228,0.996,0.0,0.004,0.0,1.0,0.0,0.0,0.0,0.974,0.0,0.026,0.0,0.0,0.0,1.0,0.0
118,1140,1.0,0.0,0.0,0.0,0.248,0.246,0.28,0.226,0.006,0.0,0.994,0.0,0.0,0.0,1.0,0.0,0.036,0.0,0.964,0.0,1.0,0.0,0.0,0.0
118,1131,0.0,0.0,1.0,0.0,0.26,0.192,0.302,0.246,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.002,0.0,0.998,0.0,1.0,0.0,0.0,0.0
118,963,1.0,0.0,0.0,0.0,0.29,0.208,0.274,0.228,0.114,0.0,0.886,0.0,0.0,0.0,1.0,0.0,0.142,0.0,0.858,0.0,1.0,0.0,0.0,0.0
118,945,0.0,0.0,0.0,1.0,0.29,0.196,0.234,0.28,0.01,0.0,0.0,0.99,1.0,0.0,0.0,0.0,0.006,0.0,0.0,0.994,1.0,0.0,0.0,0.0
118,930,0.0,1.0,0.0,0.0,0.962,0.014,0.012,0.012,0.0,0.996,0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.998,0.0,0.002,0.0,0.0,0.0,1.0
118,837,0.0,0.0,0.0,1.0,0.226,0.316,0.232,0.226,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.538,0.0,0.462,0.0,1.0,0.0,0.0
118,828,1.0,0.0,0.0,0.0,0.23,0.25,0.29,0.23,0.69,0.0,0.31,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,1.0,0.0
