,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
118,1258,0.0,0.0,0.994,0.006,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.214,0.218,0.272,0.296,0.004,0.004,0.916,0.076
118,1259,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.244,0.294,0.244,0.218,0.002,0.012,0.986,0.0
118,1212,0.0,0.34,0.0,0.66,0.0,0.002,0.0,0.998,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.216,0.288,0.214,0.282,0.0,0.532,0.0,0.468
118,1167,0.634,0.0,0.366,0.0,0.392,0.0,0.608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31,0.21,0.272,0.208,0.882,0.0,0.118,0.0
118,1140,0.934,0.0,0.066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.322,0.208,0.296,0.174,0.354,0.0,0.646,0.0
118,1131,0.96,0.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.316,0.232,0.272,0.18,0.146,0.0,0.854,0.0
118,963,0.998,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.308,0.2,0.3,0.192,0.686,0.0,0.314,0.0
118,945,0.152,0.0,0.0,0.848,0.502,0.0,0.0,0.498,0.344,0.0,0.0,0.656,1.0,0.0,0.0,0.0,0.288,0.204,0.23,0.278,0.14,0.0,0.0,0.86
118,930,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.982,0.006,0.002,0.01,0.0,0.766,0.0,0.234
118,837,0.0,0.004,0.0,0.996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.218,0.29,0.19,0.302,0.0,0.176,0.0,0.824
118,828,0.998,0.0,0.002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.258,0.228,0.308,0.206,0.926,0.0,0.074,0.0
118,663,0.0,0.016,0.0,0.984,0.0,0.002,0.0,0.998,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.232,0.242,0.234,0.292,0.0,0.842,0.0,0.158
118,636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.31,0.224,0.192,0.274,0.102,0.0,0.002,0.896
