,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
118,1258,0.0,0.0,0.998,0.002,0.0,0.0,0.0,1.0,0.258,0.238,0.274,0.23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1259,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.238,0.254,0.256,0.252,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,1212,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.23,0.24,0.222,0.308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,1167,0.318,0.0,0.682,0.0,0.0,0.0,1.0,0.0,0.284,0.198,0.294,0.224,0.856,0.0,0.144,0.0,0.832,0.0,0.168,0.0
118,1140,0.82,0.0,0.18,0.0,1.0,0.0,0.0,0.0,0.244,0.24,0.266,0.25,0.02,0.0,0.98,0.0,0.16,0.0,0.84,0.0
118,1131,0.31,0.0,0.69,0.0,1.0,0.0,0.0,0.0,0.264,0.266,0.244,0.226,0.016,0.0,0.984,0.0,0.67,0.0,0.33,0.0
118,963,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27,0.256,0.26,0.214,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,945,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.262,0.244,0.248,0.246,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
118,930,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.712,0.078,0.108,0.102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,837,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.258,0.242,0.246,0.254,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,828,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.274,0.206,0.254,0.266,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,663,0.0,0.002,0.0,0.998,0.0,1.0,0.0,0.0,0.206,0.318,0.228,0.248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,636,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.24,0.258,0.214,0.288,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,627,0.0,0.968,0.032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,596,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,561,0.998,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.24,0.27,0.212,0.278,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,426,0.0,0.134,0.0,0.866,0.0,1.0,0.0,0.0,0.234,0.27,0.222,0.274,0.0,0.002,0.0,0.998,0.0,0.428,0.0,0.572
118,384,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.272,0.244,0.264,0.22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
