scaffold	gene	gene_length	coverage	breadth	breadth_minCov	nucl_diversity	start	end	direction	partial	dNdS_substitutions	pNpS_variants	SNV_count	SNV_S_count	SNV_N_count	SNS_count	SNS_S_count	SNS_N_count	divergent_site_count
NORP83_1	NORP83_1_1	84.0	13.428571428571427	1.0	0.34523809523809523	0.008392619675603452	2	85	-1	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_1	NORP83_1_2	1200.0	43.285833333333336	1.0	0.9975	0.008017275043597505	134	1333	-1	False		0.048160363764449904	13.0	11.0	2.0	0.0	0.0	0.0	13.0
NORP83_1	NORP83_1_3	468.0	57.42307692307693	1.0	1.0	0.0049120723946481926	1804	2271	1	False		0.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0
NORP83_1	NORP83_1_4	1335.0	50.75580524344569	1.0	1.0	0.013216164496061113	2365	3699	1	False	0.0	0.025024870742199033	25.0	23.0	2.0	1.0	1.0	0.0	26.0
NORP83_1	NORP83_1_5	789.0	54.25602027883397	1.0	1.0	0.0085701087279616	3763	4551	1	False		0.04091691441089036	8.0	7.0	1.0	0.0	0.0	0.0	8.0
NORP83_1	NORP83_1_6	93.0	11.075268817204304	1.0	0.15053763440860216	0.01964285969734192	4564	4656	1	True	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0
NORP83_2	NORP83_2_1	87.0	8.666666666666666	0.9655172413793104	0.0		0	86	-1	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_2	NORP83_2_2	459.0	42.20479302832244	1.0	0.9956427015250544	0.01016916918285049	102	560	-1	False		0.0	6.0	6.0	0.0	0.0	0.0	0.0	6.0
NORP83_2	NORP83_2_3	1908.0	36.56813417190776	1.0	0.89937106918239	0.012034593970625562	741	2648	1	False		0.0639427169395621	33.0	27.0	6.0	0.0	0.0	0.0	33.0
NORP83_2	NORP83_2_4	405.0	42.77283950617284	1.0	1.0	0.012625236717271228	2660	3064	1	False		0.0	9.0	9.0	0.0	0.0	0.0	0.0	9.0
NORP83_2	NORP83_2_5	447.0	51.06263982102908	1.0	1.0	0.010995466703803249	3061	3507	1	False		0.03940886699507386	8.0	7.0	1.0	0.0	0.0	0.0	8.0
NORP83_2	NORP83_2_6	1173.0	42.25831202046036	1.0	0.9872122762148338	0.014675114953662027	3520	4692	1	False		0.0310171687722709	30.0	27.0	3.0	0.0	0.0	0.0	30.0
NORP83_2	NORP83_2_7	810.0	17.795061728395062	1.0	0.3728395061728395	0.014020943286403131	4708	5517	1	True		0.04830148619957538	7.0	6.0	1.0	0.0	0.0	0.0	7.0
NORP83_3	NORP83_3_1	2103.0	36.04945316214931	1.0	0.8892058963385642	0.009131739834413177	7	2109	-1	False		0.2480106100795745	24.0	13.0	11.0	0.0	0.0	0.0	24.0
NORP83_3	NORP83_3_2	990.0	33.63333333333333	1.0	0.8343434343434344	0.00713190667277097	2212	3201	1	False		0.18784922394678533	8.0	5.0	3.0	0.0	0.0	0.0	8.0
NORP83_3	NORP83_3_3	459.0	45.84967320261438	1.0	1.0	0.007354100025816934	3194	3652	1	False		0.13746505125815453	3.0	2.0	1.0	0.0	0.0	0.0	3.0
NORP83_3	NORP83_3_4	753.0	47.39707835325365	1.0	1.0	0.008124184758856345	3645	4397	1	False		0.12173913043478272	7.0	5.0	2.0	0.0	0.0	0.0	7.0
NORP83_3	NORP83_3_5	786.0	44.376590330788794	1.0	1.0	0.012961204649534541	4399	5184	1	False		0.12799109627156388	17.0	12.0	5.0	0.0	0.0	0.0	17.0
NORP83_3	NORP83_3_6	882.0	39.114512471655324	1.0	0.9931972789115646	0.008908403450495594	5186	6067	1	False		0.06588404408241495	10.0	8.0	2.0	0.0	0.0	0.0	10.0
NORP83_3	NORP83_3_7	876.0	41.02511415525114	1.0	1.0	0.006276230629720603	6191	7066	1	False		0.0	6.0	6.0	0.0	0.0	0.0	0.0	6.0
