scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	population_divergent_sites	consensus_divergent_sites
NORP83_388	6072	45.060935441370226	0.9980237154150198	0.010247859110770864	45	11.536970517276938	0.14806815549537725	0.9736495388669302	1.0	0.0	0.009693741321563755	0.0	0.3499670619235837	0.9957713125845736	1.0	0	69	69	0	25
NORP83_389	3910	38.566751918158566	0.9994884910485934	0.01071077743275295	40	11.664119439067788	0.18656025336961274	0.9355498721227622	0.9999999999999984	0.0	0.008934751892766156	0.0	0.1442455242966752	0.9969928922908692	1.0	0	49	49	0	11
NORP83_39	6082	33.72837882275567	0.9990134824071031	0.012449756231818545	32	14.188641252116248	0.18195052220601104	0.8199605392962841	0.9999999999998836	0.0	0.008235514163970947	0.0	0.14074317658664912	0.9935833166232204	0.9997994786444756	1	97	98	1	32
NORP83_390	18565	40.762294640452474	0.9996768112038784	0.008060417494623941	41	11.68582348729702	0.08576765621133475	0.9545381093455428	0.9999999999999998	0.0	0.0068683978688647285	0.0	0.2302720172367358	0.9980249421590204	0.999830709327916	3	135	138	3	35
NORP83_391	3591	33.37900306321359	0.996658312447786	0.010138317587143564	33	12.235928862110164	0.20421597824656984	0.8638262322472848	0.9999999999998416	0.0	0.007030943429695014	0.0	0.07379560011138958	0.9974210186976143	0.9996776273372018	1	48	49	1	8
NORP83_4	3811	47.4038310154815	0.998950406717397	0.010749074820018856	49	15.632182455767493	0.2532544747050121	0.9435843610600892	1.0	0.0	0.010454645020062771	0.0	0.4801889267908686	0.9980533926585096	1.0	0	50	50	0	7
NORP83_40	9391	54.75039931849643	0.9971249068256842	0.011792067440972165	52	27.045769320994953	0.2791043102353608	0.9125758705143222	1.0	0.0	0.010490392142269878	0.0	0.5352997550846555	0.9960326721120186	0.9996499416569428	3	145	148	3	34
NORP83_41	8914	38.79739735247925	0.9998878169172088	0.010731575118570593	38	13.345506603841992	0.14135888511399655	0.9515369082342384	0.9999999999999988	0.0	0.00951009615745213	0.0	0.24556876822975096	0.9963452016033956	0.9997642065550578	2	119	121	2	31
NORP83_42	3354	37.00685748360167	0.9988073941562312	0.012689324348706732	39	12.378627712885905	0.21377441419705226	0.9114490161001788	0.9999999999999936	0.0	0.010128913663368877	0.0	0.16189624329159213	0.9947661105659142	0.9983644095518482	5	57	62	5	16
NORP83_43	8411	33.862917607894424	0.9976221614552372	0.010072524723139352	33	14.232711622645388	0.1551992620962426	0.8347402211389847	0.9999999999998966	0.0	0.00985502198967525	0.0	0.1633575080252051	0.996011964107677	1.0	0	82	82	0	28
NORP83_44	3290	36.4887537993921	0.9939209726443771	0.009223622466238424	33	18.204262200835586	0.3174250125243653	0.8003039513677812	0.9999999999999898	0.0	0.006268555314277503	0.0	0.32188449848024314	0.9984808203570072	1.0	0	20	20	0	4
NORP83_45	3114	35.57867694283879	0.9987154784842646	0.013153772895587612	35	16.224235779766186	0.29078680035880594	0.7854849068721901	0.9999999999999772	0.0	0.014032628781125656	0.0	0.2125883108542068	0.9967293540474244	0.9987735077677842	3	47	50	3	8
NORP83_46	4108	29.21470301850049	0.9965920155793574	0.014408018491039563	30	10.501803896810763	0.16387079207568528	0.817429406037001	0.9999999999937385	0.0	0.009978947513981871	0.0	0.023125608568646545	0.997319833234068	1.0	0	83	83	0	9
NORP83_47	5885	43.10297366185217	0.9996601529311808	0.009647530810367731	46	12.714789106212065	0.16575736303909358	0.9264231096006796	1.0	0.0	0.008223855291471183	0.0	0.3376380628717077	0.9952311078503302	0.9996331621423332	2	65	67	2	26
NORP83_48	4995	38.34994994994995	0.995995995995996	0.012082340384508172	39	12.728522018296852	0.1801165870650916	0.9365365365365366	0.9999999999999979	0.0	0.01242988522367916	0.0	0.20900900900900896	0.9955109020949124	1.0	0	75	75	0	21
NORP83_49	5632	43.40163352272727	1.0	0.006503907665063036	45	13.441235639383073	0.179120969469462	0.9426491477272728	1.0	0.0	0.007130932590322825	0.0	0.3599076704545455	0.9992465624411376	1.0	0	23	23	0	4
NORP83_5	21693	33.54459964043701	0.9995851196238418	0.006787045853841267	33	11.101552204082353	0.07537614244505354	0.9090029041626332	0.9999999999998632	0.0	0.007187917068966376	0.0	0.07324943530171023	0.9986814747198134	0.9999492874892236	1	115	116	1	26
NORP83_67	18072	40.900730411686595	0.9999446657813192	0.00789671158251537	42	11.543367404234221	0.08586999265001953	0.9593846834882692	0.9999999999999998	0.0	0.006986521116588484	0.0	0.24302788844621515	0.9972891913715538	0.9995385857653708	7	125	132	8	47
NORP83_68	4425	39.611751412429385	0.99954802259887	0.012530318038515452	38	14.055459071155095	0.21131847879519566	0.9462146892655368	0.9999999999999992	0.0	0.009462346577777558	0.0	0.20225988700564973	0.9947456412705996	1.0	0	76	76	0	22
NORP83_69	10440	39.484291187739466	0.9982758620689656	0.011963644017508157	41	10.208550543102179	0.09991590687330018	0.9737547892720306	0.9999999999999992	0.0	0.011454062280485844	0.0	0.12969348659003832	0.9945898091678144	0.9995081644698012	5	174	179	5	55
NORP83_7	19426	38.89524348810872	0.9813137032842584	0.01059226518551537	41	13.090325671913671	0.09392256351940813	0.9102748893235868	0.9999999999999988	0.0	0.008166261116663631	0.0	0.17759703490167816	0.9951931233388001	0.9998868970197364	2	227	229	2	85
NORP83_70	3072	28.66276041666667	0.99609375	0.011632073286939826	27	9.655434495493537	0.17423360142662306	0.8912760416666666	0.999999999989806	0.0	0.004197850022264693	0.0	0.0302734375	0.9985390796201608	0.9996347699050402	1	56	57	1	4
NORP83_71	3802	42.49894792214624	0.9986849026827984	0.010073132253202166	43	12.15936714260668	0.19722503283727588	0.9487112046291426	1.0	0.0	0.008529446273318086	0.0	0.2706470278800631	0.9966731355697256	0.9997227612974772	1	45	46	1	12
NORP83_72	11412	38.84595162986329	0.999912372940764	0.00761790144236829	39	10.55985884881416	0.09885445825998757	0.9552225727304592	0.9999999999999988	0.0	0.00606692612601889	0.0	0.1576410795653698	0.9994495917805706	0.9997247958902852	3	79	82	3	6
NORP83_73	4400	38.474545454545456	0.9977272727272728	0.012231241369170531	41	14.827915542612285	0.22356464414375976	0.8459090909090909	0.9999999999999982	0.0	0.011295221000237944	0.0	0.2520454545454546	0.9954325631380978	0.9997313272434176	1	58	59	1	17
NORP83_74	3513	28.826074580130943	0.9931682322801024	0.012195430989293876	26	13.205493723988342	0.22283191343288689	0.7159123256475947	0.9999999999911751	0.0	0.007347126390742199	0.0	0.1238257899231426	0.9992047713717692	1.0	0	43	43	0	2
NORP83_75	3331	38.5755028519964	0.999399579705794	0.00937404486750204	38	15.231681824462392	0.26395247729613786	0.9105373761633144	0.9999999999999984	0.0	0.008979220991526815	0.0	0.2773941759231462	0.997692054071876	1.0	0	30	30	0	7
NORP83_76	18583	43.20890060808266	0.9997309368777916	0.010368286068142218	43	11.373100583295678	0.08343199956351081	0.9814346445676156	1.0	0.0	0.009870439649775076	0.0	0.28526072216542003	0.996216690426582	0.9998903388529444	2	239	241	2	69
NORP83_77	4875	40.63097435897436	0.9981538461538462	0.013245794262503052	40	15.587326363208945	0.2232692256862299	0.9372307692307692	0.9999999999999998	0.0	0.010698360884613069	0.0	0.30030769230769233	0.993652878091486	0.9997811337272926	1	92	93	1	29
NORP83_78	6377	38.360514348439715	0.9970205425748784	0.010652568966400766	38	13.507420047820865	0.16916022392842786	0.9330406147091108	0.9999999999999979	0.0	0.008985296586756621	0.0	0.1983691390936177	0.997310924369748	1.0	0	90	90	0	16
NORP83_79	5826	39.92430484037075	0.9994850669412976	0.009082662092968263	41	11.746504460911925	0.1539078187129641	0.9359766563680056	0.9999999999999996	0.0	0.009086705414086628	0.0	0.17816683831101954	0.9965156794425089	0.9998166147075004	1	56	57	1	19
NORP83_8	5371	34.54645317445541	0.9642524669521504	0.0067491623563690215	37	16.274017153734572	0.22207906820842355	0.7631725935579966	0.9999999999999436	0.0	0.005675584719045057	0.0	0.19903183764662075	0.9985362283483776	1.0	0	14	14	0	6
NORP83_35	3731	32.97560975609756	0.9994639506834628	0.012219304901443072	35	12.603671195460125	0.20636813951993632	0.8418654516215491	0.9999999999997738	0.0	0.0062957851366064466	0.0	0.06995443580809435	0.9964979305953516	1.0	0	59	59	0	11
NORP83_350	4474	36.60326329906124	0.9982118909253463	0.011769305928089113	38	14.189508552548942	0.2121621486560393	0.8667858739383102	0.9999999999999908	0.0	0.010438802995179852	0.0	0.21658471166741167	0.9953584321815367	0.9992264053635896	3	68	71	3	18
NORP83_351	9760	37.16844262295082	0.998872950819672	0.010322393346285708	38	12.022157993491785	0.1216969718957332	0.9276639344262296	0.9999999999999944	0.0	0.008988511819129852	0.0	0.1569672131147541	0.99679699580296	0.9998895515794124	1	116	117	1	29
NORP83_352	14673	42.52770394602331	0.9995229332788116	0.008873896618016297	43	11.289548003120613	0.09320343003276317	0.9732161112246984	1.0	0.0	0.008629228757775387	0.0	0.2429632658624685	0.9964285714285714	0.9999299719887956	1	128	129	1	51
NORP83_353	3705	48.09122807017544	0.9997300944669366	0.010702410610782587	50	13.058687884357846	0.2145675552399038	0.9605937921727395	1.0	0.0	0.009887234232527131	0.0	0.5074224021592443	0.9957853329586964	1.0	0	45	45	0	15
NORP83_354	7685	45.203773584905655	0.9989590110605074	0.007356435986088594	45	14.629676751156742	0.16689412626262534	0.9720234222511386	1.0	0.0	0.005892236282592943	0.0	0.3921925829538061	0.9970548862115128	0.999330655957162	5	49	54	5	22
NORP83_355	3220	24.89751552795031	0.9959627329192546	0.0109493656332742	22	11.034336304387786	0.1944848283427876	0.6881987577639752	0.9999999997166976	0.0	0.010082269813997513	0.0	0.0437888198757764	0.9986462093862816	0.999548736462094	1	32	33	1	3
NORP83_356	8931	39.02351360429963	0.979957451573172	0.011416741311072951	40	14.823702003806211	0.15686676720616136	0.9090807300414288	0.9999999999999988	0.0	0.010248893631283784	0.0	0.2175568245437241	0.9950732848873014	1.0	0	119	119	0	40
NORP83_357	3422	36.00029222676797	0.9976621858562243	0.014202390833020329	36	13.165926211488605	0.22509968106416614	0.8872004675628288	0.9999999999999843	0.0	0.012106666801212085	0.0	0.16218585622443016	0.993741765480896	1.0	0	67	67	0	19
NORP83_358	5051	29.17382696495743	0.9958424074440704	0.01203718774134388	29	10.360492745218801	0.145792345154639	0.8041971886755098	0.9999999999935084	0.0	0.006441379415577875	0.0	0.022965749356563057	0.9945839487936976	0.9997538158542588	1	75	76	1	22
NORP83_359	3166	31.560328490208462	0.998104864181933	0.01141154445038961	33	13.54443305766468	0.2407542563695406	0.7564750473783954	0.9999999999992109	0.0	0.01532916724681854	0.0	0.06064434617814276	0.9933194154488518	0.9995824634655532	1	39	40	1	16
NORP83_36	5301	43.52197698547443	0.9994340690435768	0.011053502469787537	45	13.010412512476359	0.17871175999188327	0.9383135257498584	1.0	0.0	0.011007638613083737	0.0	0.350688549330315	0.9951749095295536	0.9995979091274628	1	64	65	2	24
NORP83_360	15774	42.428933688347904	0.999683022695575	0.009041683633105979	43	11.20845126028368	0.08924593748965315	0.9568910865981995	1.0	0.0	0.009195829504191622	0.0	0.2675288449347027	0.9962899165231218	1.0	0	135	135	0	56
