,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
118,1258,0.0,0.0,0.0,1.0,0.208,0.258,0.254,0.28,0.004,0.0,0.612,0.384,0.002,0.0,0.368,0.63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1259,0.0,0.474,0.526,0.0,0.266,0.252,0.194,0.288,0.0,0.192,0.806,0.002,0.0,0.822,0.178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,1.0,0.0,0.0,0.25,0.224,0.258,0.268,0.0,0.748,0.0,0.252,0.0,0.806,0.0,0.194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,1167,0.0,0.0,1.0,0.0,0.25,0.234,0.25,0.266,0.998,0.0,0.002,0.0,0.996,0.0,0.004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,1140,1.0,0.0,0.0,0.0,0.274,0.23,0.258,0.238,0.002,0.0,0.998,0.0,0.012,0.0,0.988,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,1131,1.0,0.0,0.0,0.0,0.25,0.23,0.282,0.238,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,963,1.0,0.0,0.0,0.0,0.234,0.25,0.234,0.282,0.016,0.0,0.984,0.0,0.008,0.0,0.992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,945,1.0,0.0,0.0,0.0,0.228,0.262,0.278,0.232,0.024,0.0,0.0,0.976,0.038,0.0,0.0,0.962,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
118,930,0.0,0.0,0.0,1.0,0.644,0.108,0.128,0.12,0.006,0.99,0.0,0.004,0.022,0.96,0.0,0.018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,837,0.0,1.0,0.0,0.0,0.22,0.324,0.246,0.21,0.0,0.558,0.0,0.442,0.0,0.48,0.0,0.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,828,0.0,0.0,1.0,0.0,0.282,0.254,0.23,0.234,0.682,0.0,0.318,0.0,0.31,0.0,0.69,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,663,0.0,1.0,0.0,0.0,0.258,0.268,0.22,0.254,0.0,0.816,0.0,0.184,0.0,0.668,0.0,0.332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,636,1.0,0.0,0.0,0.0,0.3,0.242,0.224,0.234,0.496,0.0,0.0,0.504,0.51,0.0,0.0,0.49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,627,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.76,0.24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.238,0.762,0.0
118,596,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,561,0.0,0.0,1.0,0.0,0.262,0.238,0.244,0.256,0.37,0.006,0.62,0.004,0.428,0.002,0.566,0.004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,426,0.0,1.0,0.0,0.0,0.248,0.232,0.248,0.272,0.006,0.428,0.004,0.562,0.006,0.406,0.008,0.58,0.0,0.204,0.0,0.796,0.0,0.354,0.0,0.646
118,384,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,1.0,0.0,0.0,0.0,0.284,0.258,0.254,0.204,0.026,0.0,0.974,0.0,0.048,0.0,0.952,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,291,0.0,0.0,0.0,1.0,0.264,0.242,0.248,0.246,0.0,0.91,0.0,0.09,0.0,0.802,0.0,0.198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9682,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.534,0.0,0.466,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9751,0.244,0.036,0.06,0.66,0.246,0.232,0.264,0.258,0.098,0.0,0.0,0.902,0.898,0.0,0.0,0.102,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
648,9817,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.992,0.0,0.008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,9945,0.49,0.112,0.072,0.326,0.228,0.294,0.246,0.232,0.718,0.0,0.0,0.282,0.28,0.0,0.0,0.72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
649,10173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.078,0.0,0.922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,10242,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37,0.0,0.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1417,0.0,0.0,0.808,0.192,0.0,0.0,1.0,0.0,0.242,0.292,0.246,0.22,0.0,0.0,0.0,1.0,0.248,0.282,0.246,0.224,0.236,0.252,0.242,0.27
1095,1402,0.078,0.922,0.0,0.0,0.0,1.0,0.0,0.0,0.284,0.256,0.23,0.23,1.0,0.0,0.0,0.0,0.258,0.252,0.248,0.242,0.256,0.26,0.24,0.244
1095,1336,0.132,0.0,0.868,0.0,0.0,0.0,1.0,0.0,0.262,0.24,0.254,0.244,1.0,0.0,0.0,0.0,0.24,0.254,0.252,0.254,0.29,0.266,0.222,0.222
