scaffold	gene	gene_length	coverage	breadth	breadth_minCov	nucl_diversity	start	end	direction	partial	dNdS_substitutions	pNpS_variants	SNV_count	SNV_S_count	SNV_N_count	SNS_count	SNS_S_count	SNS_N_count	divergent_site_count
NORP83_1	NORP83_1_1	84.0	13.75	1.0	0.32142857142857145	0.00558386908637154	2	85	-1	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_1	NORP83_1_2	1200.0	52.26916666666666	1.0	1.0	0.004086419393618868	134	1333	-1	False	0.08829400023482482	0.03311025008805931	9.0	8.0	1.0	4.0	3.0	1.0	13.0
NORP83_1	NORP83_1_3	468.0	49.42521367521368	1.0	1.0	0.0016021592240048619	1804	2271	1	False	0.2940630797773651		0.0	0.0	0.0	2.0	1.0	1.0	2.0
NORP83_1	NORP83_1_4	1335.0	46.37977528089888	1.0	0.9640449438202248	0.007143001224796386	2365	3699	1	False	0.0	0.02877860135352888	22.0	20.0	2.0	2.0	2.0	0.0	24.0
NORP83_1	NORP83_1_5	789.0	51.14195183776933	1.0	1.0	0.00349941166030443	3763	4551	1	False		0.0572836801752465	6.0	5.0	1.0	0.0	0.0	0.0	6.0
NORP83_1	NORP83_1_6	93.0	23.053763440860216	1.0	0.6344086021505376	0.010969865120063371	4564	4656	1	True	0.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	3.0
NORP83_2	NORP83_2_1	87.0	17.206896551724142	1.0	0.4597701149425287	0.002169421315193154	0	86	-1	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_2	NORP83_2_2	459.0	49.62309368191721	1.0	1.0	0.004160633533868419	102	560	-1	False		0.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0
NORP83_2	NORP83_2_3	1908.0	37.81970649895178	1.0	0.8165618448637316	0.005484912377113904	741	2648	1	False	0.0	0.07673126032747453	19.0	15.0	4.0	3.0	3.0	0.0	22.0
NORP83_2	NORP83_2_4	405.0	53.7679012345679	1.0	1.0	0.005333099836184685	2660	3064	1	False		0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0
NORP83_2	NORP83_2_5	447.0	47.35794183445189	1.0	1.0	0.00421413812594662	3061	3507	1	False	0.0	0.0	3.0	3.0	0.0	1.0	1.0	0.0	4.0
NORP83_2	NORP83_2_6	1173.0	31.103154305200338	1.0	0.7647058823529411	0.00743848842920669	3520	4692	1	False	0.09305150631681272	0.019939608496459864	15.0	14.0	1.0	4.0	3.0	1.0	19.0
NORP83_2	NORP83_2_7	810.0	17.42962962962963	1.0	0.43703703703703706	0.009676167015301941	4708	5517	1	True		0.041401273885350316	8.0	7.0	1.0	0.0	0.0	0.0	8.0
NORP83_3	NORP83_3_1	2103.0	39.823585354255826	1.0	0.8777936281502615	0.003768351748343557	7	2109	-1	False	0.2931034482758608	0.14655172413793038	9.0	6.0	3.0	2.0	1.0	1.0	11.0
NORP83_3	NORP83_3_2	990.0	43.04343434343434	1.0	0.8878787878787879	0.002830432543575512	2212	3201	1	False			2.0	0.0	2.0	0.0	0.0	0.0	2.0
NORP83_3	NORP83_3_3	459.0	49.84095860566449	1.0	1.0	0.0021091537278202788	3194	3652	1	False		0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
NORP83_3	NORP83_3_4	753.0	51.47410358565737	1.0	1.0	0.004357022989002091	3645	4397	1	False	0.0	0.15217391304347838	6.0	4.0	2.0	1.0	1.0	0.0	7.0
NORP83_3	NORP83_3_5	786.0	51.407124681933844	1.0	1.0	0.005318868327080173	4399	5184	1	False		0.08377599028684181	14.0	11.0	3.0	0.0	0.0	0.0	14.0
NORP83_3	NORP83_3_6	882.0	43.14399092970522	1.0	1.0	0.0026554649784451545	5186	6067	1	False	0.0	0.1317680881648299	3.0	2.0	1.0	2.0	2.0	0.0	5.0
NORP83_3	NORP83_3_7	876.0	44.465753424657535	1.0	0.9965753424657534	0.002959894423905429	6191	7066	1	False	0.0	0.0	3.0	3.0	0.0	1.0	1.0	0.0	4.0
NORP83_3	NORP83_3_8	1098.0	48.18579234972678	1.0	1.0	0.0038120230907516812	7070	8167	1	False	0.0	0.0	6.0	6.0	0.0	3.0	3.0	0.0	9.0
NORP83_3	NORP83_3_9	765.0	39.992156862745105	1.0	0.8679738562091504	0.0036249470459409623	8164	8928	1	False	0.0	0.0	4.0	4.0	0.0	2.0	2.0	0.0	6.0
