scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	population_divergent_sites	consensus_divergent_sites
NORP83_50	5106	41.302585193889534	0.9845280062671368	0.003505263401151648	43	12.91564352271478	0.18076659460460334	0.9261652957305132	1.0	0.0	0.004046485484372586	0.0	0.208969839404622	0.9968280820469444	0.998308310425037	8	16	24	8	15
NORP83_51	4703	26.10525196682968	0.8060812247501594	0.002826158675559021	2	59.38615920229586	0.866051913947515	0.1654263236232192	0.9999999999024776	0.0	0.003473833393005221	0.0	0.15032957686583032	0.9974293059125964	0.9974293059125964	2	2	4	2	2
NORP83_52	3565	31.591023842917252	0.9971949509116408	0.004163270866548663	34	13.189541872266568	0.22093313912621146	0.7887798036465639	0.999999999999232	0.0	0.00427294128081379	0.0	0.04768583450210378	0.992887624466572	0.9950213371266002	14	24	38	14	20
NORP83_53	28443	45.682311992405864	0.9994374714340962	0.003346066486203059	47	9.884196351898499	0.05860859335271491	0.9801708680518932	1.0	0.0	0.003365102919286156	0.0	0.3417361037865204	0.996592417231608	0.998672836184942	37	149	186	37	95
NORP83_54	3389	43.207435821776336	1.0	0.004237322091826257	46	13.556099329829939	0.23289654269363236	0.9173797580407199	1.0	0.0	0.003439181380801681	0.0	0.4036588964296253	0.9980701190093276	0.999035059504664	3	18	21	3	6
NORP83_55	3632	44.01321585903085	0.998898678414097	0.004074292411449521	45	11.268613647423654	0.1870067852786768	0.9622797356828194	1.0	0.0	0.004348977689269451	0.0	0.28276431718061673	0.9914163090128756	0.996280400572246	13	26	39	13	30
NORP83_56	13474	46.32596111028647	0.9995546979367672	0.0035227852778708657	48	9.801800047050476	0.08444495020402462	0.972688140121716	1.0	0.0	0.0030241972524074345	0.0	0.3975063084458958	0.9953456432168472	0.9982450785899588	23	73	96	23	61
NORP83_57	3062	44.48922273024167	0.9980404964075767	0.00402700699261016	47	14.00199603609452	0.2530802679334196	0.9454604833442196	1.0	0.0	0.0021900955642647486	0.0	0.375898105813194	0.9955094991364422	0.9993091537132988	2	17	19	2	13
NORP83_58	4033	35.321100917431195	1.0	0.0052364420377200025	39	15.55871735302092	0.2450267668764196	0.7941978675923629	0.9999999999999716	0.0	0.004243994692237464	0.0	0.18373419290850485	0.992819231970028	0.9990633780830472	3	34	37	3	23
NORP83_59	4618	37.42810740580339	0.9835426591598094	0.002302002404773851	40	13.221459056056075	0.19458055919285475	0.8895625812039845	0.9999999999999956	0.0	0.0028990549942045085	0.0	0.11455175400606322	0.9997565725413826	0.9997565725413826	1	9	10	1	1
NORP83_6	5990	28.70066777963272	0.9736227045075124	0.00593069342316177	29	19.618712309321943	0.25350897666212635	0.5702838063439065	0.9999999999901416	0.0	0.0028800000426589807	0.0	0.15525876460767946	0.9891686182669788	0.9973653395784544	9	42	51	9	37
NORP83_60	4872	43.397577996715924	0.9995894909688012	0.004666180455110358	44	13.308368135973804	0.1906846530822147	0.9501231527093597	1.0	0.0	0.004680706064510987	0.0	0.33723316912972084	0.9954633830200909	0.9989198531000216	5	38	43	5	21
NORP83_61	6891	45.55231461326368	0.9817152808010448	0.0044355253776673376	50	15.133105031123787	0.1823133349141572	0.9124945581192858	1.0	0.0	0.003267198257945969	0.0	0.5096502684661153	0.9928435114503816	0.996819338422392	20	47	67	20	45
NORP83_62	4218	42.26315789473684	1.0	0.0044296902889442435	43	11.103588870617076	0.17098640148264066	0.9504504504504504	1.0	0.0	0.002760799412042325	0.0	0.24917022285443335	0.9932651534048392	0.9965078573210276	14	34	48	14	27
NORP83_63	8488	40.635485391140435	0.9921065032987748	0.0034803425525492537	44	14.220519018136024	0.15436127119110465	0.8898444863336475	0.9999999999999998	0.0	0.004145009481749784	0.0	0.25023562676720074	0.9947040910896332	0.9980140341586125	15	47	62	15	40
NORP83_64	6872	43.705908032596035	0.9998544819557624	0.0046434981847963686	47	16.74594733231698	0.20202250258926155	0.8744179278230501	1.0	0.0	0.0041944522839478795	0.0	0.419674039580908	0.9940089865202196	0.9981694125478447	11	50	61	11	36
NORP83_65	3128	45.5361253196931	0.9980818414322252	0.0027702238403062296	47	13.705174758677128	0.24508720387054306	0.9341432225063938	1.0	0.0	0.003345399780330993	0.0	0.4239130434782609	0.995893223819302	0.9965776865160848	10	3	13	10	12
NORP83_66	3603	37.08187621426589	0.9983347210657784	0.004303849031534357	41	13.998957640479007	0.2332511776772401	0.8498473494310297	0.999999999999994	0.0	0.004026337538236446	0.0	0.13488759367194006	0.992815153494448	0.9970607446113652	9	26	35	9	22
