,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
118,1258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.218,0.278,0.252,0.252,0.0,0.0,1.0,0.0
118,1259,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.272,0.214,0.27,0.244,0.0,0.0,1.0,0.0
118,1212,0.0,0.004,0.0,0.996,0.0,1.0,0.0,0.0,0.216,0.296,0.216,0.272,0.0,0.0,0.0,1.0
118,1167,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.298,0.198,0.256,0.248,1.0,0.0,0.0,0.0
118,1140,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.266,0.224,0.24,0.27,0.0,0.0,1.0,0.0
118,1131,0.998,0.0,0.002,0.0,1.0,0.0,0.0,0.0,0.238,0.244,0.286,0.232,0.0,0.0,1.0,0.0
118,963,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.268,0.222,0.296,0.214,0.0,0.0,1.0,0.0
118,945,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.272,0.224,0.218,0.286,0.0,0.0,0.0,1.0
118,930,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.582,0.15,0.124,0.144,0.0,1.0,0.0,0.0
118,837,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.242,0.252,0.242,0.264,0.0,0.0,0.0,1.0
118,828,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23,0.262,0.26,0.248,1.0,0.0,0.0,0.0
118,663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.228,0.286,0.246,0.24,0.0,0.0,0.0,1.0
118,636,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.246,0.264,0.23,0.26,0.0,0.0,0.0,1.0
118,627,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,596,0.096,0.0,0.904,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,561,0.994,0.0,0.006,0.0,0.0,0.0,1.0,0.0,0.264,0.218,0.278,0.24,1.0,0.0,0.0,0.0
118,426,0.0,0.278,0.0,0.722,0.0,1.0,0.0,0.0,0.242,0.278,0.242,0.238,0.0,0.0,0.0,1.0
118,384,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.292,0.204,0.276,0.228,0.0,0.0,1.0,0.0
118,291,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.23,0.27,0.206,0.294,0.0,1.0,0.0,0.0
648,9682,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
648,9751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.256,0.238,0.244,0.262,1.0,0.0,0.0,0.0
648,9817,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
649,9945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.254,0.288,0.212,0.246,1.0,0.0,0.0,0.0
649,10173,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
649,10242,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1095,1417,0.0,0.0,0.006,0.994,0.21,0.248,0.256,0.286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1095,1402,0.97,0.03,0.0,0.0,0.264,0.23,0.242,0.264,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,1336,0.986,0.0,0.014,0.0,0.258,0.24,0.256,0.246,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,1295,0.914,0.0,0.086,0.0,0.284,0.266,0.246,0.204,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1213,0.0,0.492,0.0,0.508,0.226,0.244,0.274,0.256,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1095,1198,0.966,0.0,0.034,0.0,0.222,0.272,0.25,0.256,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1183,0.0,0.18,0.0,0.82,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1095,1159,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1095,1102,0.0,0.0,0.0,1.0,0.0,0.998,0.0,0.002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1095,1072,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1098,3532,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,3346,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,3306,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3259,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1098,3253,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1098,3247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1098,3100,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.264,0.212,0.258,0.266,0.0,0.0,0.0,1.0
1098,3097,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.266,0.226,0.258,0.0,0.0,0.0,1.0
1098,3094,0.0,0.008,0.0,0.992,0.0,0.0,0.0,1.0,0.232,0.264,0.246,0.258,0.0,1.0,0.0,0.0
1098,3082,0.91,0.0,0.09,0.0,0.0,0.0,1.0,0.0,0.244,0.274,0.25,0.232,1.0,0.0,0.0,0.0
1098,3064,0.0,0.0,0.804,0.196,0.0,0.0,0.0,1.0,0.234,0.196,0.274,0.296,0.0,0.0,1.0,0.0
1098,3058,0.576,0.0,0.424,0.0,0.0,0.0,1.0,0.0,0.248,0.244,0.262,0.246,1.0,0.0,0.0,0.0
1098,3000,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1098,2854,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,2716,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1099,4567,0.986,0.0,0.0,0.014,0.27,0.258,0.242,0.23,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1099,4561,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.244,0.264,0.24,0.252,1.0,0.0,0.0,0.0
1099,4504,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.236,0.27,0.264,0.23,1.0,0.0,0.0,0.0
1099,4498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.256,0.248,0.26,0.236,1.0,0.0,0.0,0.0
1099,4459,0.186,0.814,0.0,0.0,0.244,0.262,0.258,0.236,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1099,4402,0.0,0.0,1.0,0.0,0.42,0.0,0.58,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1099,4327,0.0,0.03,0.0,0.97,0.25,0.246,0.28,0.224,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1099,4285,1.0,0.0,0.0,0.0,0.25,0.222,0.268,0.26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1099,4264,0.204,0.0,0.0,0.796,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1099,4165,0.0,0.0,0.0,1.0,0.278,0.234,0.264,0.224,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1102,5787,0.0,0.0,0.0,1.0,0.272,0.248,0.254,0.226,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1102,5706,0.0,0.0,0.0,1.0,0.274,0.266,0.214,0.246,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1102,5670,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1103,6291,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1103,6230,0.998,0.002,0.0,0.0,0.238,0.3,0.232,0.23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1103,6216,0.906,0.0,0.094,0.0,0.262,0.242,0.206,0.29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1103,5937,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1103,5880,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1103,5877,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1104,6724,1.0,0.0,0.0,0.0,0.282,0.258,0.228,0.232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1104,6716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1104,6705,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.272,0.248,0.236,0.244,1.0,0.0,0.0,0.0
1104,6650,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.2,0.26,0.29,0.0,0.0,0.0,1.0
1104,6652,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.242,0.276,0.254,0.228,0.0,1.0,0.0,0.0
1104,6530,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.216,0.268,0.276,0.24,0.0,0.0,1.0,0.0
1104,6518,0.968,0.0,0.0,0.032,0.262,0.238,0.262,0.238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1104,6503,0.906,0.0,0.094,0.0,0.244,0.246,0.224,0.286,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1104,6488,0.932,0.0,0.068,0.0,0.264,0.236,0.256,0.244,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1104,6470,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1104,6446,0.0,0.0,0.998,0.002,0.238,0.266,0.244,0.252,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1104,6425,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1106,7452,1.0,0.0,0.0,0.0,0.236,0.254,0.246,0.264,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1106,7398,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1106,7359,0.0,0.0,0.996,0.004,0.24,0.274,0.244,0.242,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1106,7317,0.898,0.0,0.102,0.0,0.256,0.236,0.276,0.232,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
