scaffold	gene	gene_length	coverage	breadth	breadth_minCov	nucl_diversity	start	end	direction	partial	dNdS_substitutions	pNpS_variants	SNV_count	SNV_S_count	SNV_N_count	SNS_count	SNS_S_count	SNS_N_count	divergent_site_count
NORP83_1	NORP83_1_1	84.0	18.08333333333333	1.0	0.42857142857142855	0.0056761817799674255	2	85	-1	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_1	NORP83_1_2	1200.0	73.3525	1.0	0.9558333333333332	0.005526605749920144	134	1333	-1	False		0.07224054564667486	14.0	11.0	3.0	0.0	0.0	0.0	14.0
NORP83_1	NORP83_1_3	468.0	85.60470085470084	1.0	1.0	0.0018661335492745625	1804	2271	1	False			0.0	0.0	0.0	1.0	0.0	1.0	1.0
NORP83_1	NORP83_1_4	1335.0	76.67265917602997	1.0	1.0	0.003341420938013151	2365	3699	1	False	0.047964335589214806	0.0	2.0	2.0	0.0	7.0	6.0	1.0	9.0
NORP83_1	NORP83_1_5	789.0	77.80735107731306	1.0	1.0	0.003798071800227065	3763	4551	1	False	0.14320920043811625	0.0	5.0	5.0	0.0	3.0	2.0	1.0	8.0
NORP83_1	NORP83_1_6	93.0	23.903225806451612	1.0	0.6344086021505376	0.00399087243160956	4564	4656	1	True			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_2	NORP83_2_1	87.0	26.988505747126432	1.0	0.632183908045977	0.005058169364929199	0	86	-1	False		0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
NORP83_2	NORP83_2_2	459.0	79.06100217864923	1.0	1.0	0.004873143042354533	102	560	-1	False	0.0	0.0	6.0	6.0	0.0	1.0	1.0	0.0	7.0
NORP83_2	NORP83_2_3	1908.0	73.05188679245283	1.0	1.0	0.0043346045589547355	741	2648	1	False	0.0	0.05231676840509626	13.0	11.0	2.0	4.0	4.0	0.0	17.0
NORP83_2	NORP83_2_4	405.0	40.009876543209884	1.0	0.6987654320987654	0.012233881141608728	2660	3064	1	False	0.0	0.0	8.0	8.0	0.0	2.0	2.0	0.0	10.0
NORP83_2	NORP83_2_5	447.0	71.59284116331095	1.0	1.0	0.00519724153565615	3061	3507	1	False	0.27586206896551696	0.0	3.0	3.0	0.0	2.0	1.0	1.0	5.0
NORP83_2	NORP83_2_6	1173.0	79.38789428815004	1.0	1.0	0.004518539704325253	3520	4692	1	False	0.0		0.0	0.0	0.0	1.0	1.0	0.0	1.0
NORP83_2	NORP83_2_7	810.0	62.01604938271605	1.0	0.9617283950617284	0.004079969841341291	4708	5517	1	True	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0
NORP83_3	NORP83_3_1	2103.0	66.08654303376129	1.0	0.95244888254874	0.003641955892978999	7	2109	-1	False	0.19540229885057386	0.3517241379310329	11.0	5.0	6.0	5.0	3.0	2.0	16.0
