,Position,0,1,2,3,4,5,6,7,8,9,10,11
118,1258,0.0,0.0,0.0,1.0,0.0,0.0,0.998,0.002,0.0,0.0,1.0,0.0
118,1259,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,1167,0.0,0.0,1.0,0.0,0.968,0.0,0.032,0.0,1.0,0.0,0.0,0.0
118,1140,1.0,0.0,0.0,0.0,0.016,0.002,0.982,0.0,0.0,0.0,1.0,0.0
118,1131,1.0,0.0,0.0,0.0,0.008,0.0,0.992,0.0,0.0,0.0,1.0,0.0
118,963,1.0,0.0,0.0,0.0,0.124,0.0,0.876,0.0,0.0,0.0,1.0,0.0
118,945,1.0,0.0,0.0,0.0,0.112,0.0,0.0,0.888,0.0,0.0,0.0,1.0
118,930,0.0,0.0,0.0,1.0,0.022,0.892,0.0,0.086,0.0,1.0,0.0,0.0
118,837,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,828,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,663,0.0,1.0,0.0,0.0,0.0,0.008,0.0,0.992,0.0,0.0,0.0,1.0
118,636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,627,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,596,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,561,0.0,0.0,1.0,0.0,0.98,0.002,0.014,0.004,1.0,0.0,0.0,0.0
118,426,0.0,1.0,0.0,0.0,0.006,0.09,0.008,0.896,0.0,0.0,0.0,1.0
118,384,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,1.0,0.0,0.0,0.0,0.158,0.0,0.842,0.0,0.0,0.0,1.0,0.0
118,291,0.0,0.0,0.0,1.0,0.0,0.52,0.0,0.48,0.0,1.0,0.0,0.0
648,9682,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
648,9751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
648,9817,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
649,9945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
649,10173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
649,10242,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1095,1417,0.0,0.0,0.224,0.776,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1095,1402,0.95,0.05,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,1336,0.984,0.0,0.016,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1303,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,1295,0.912,0.0,0.088,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1261,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1095,1213,0.0,0.462,0.0,0.538,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1095,1198,0.97,0.0,0.03,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
